section,metric,stat,value,unit
xc_mt,total_wall_ticks,sample,10045378,ticks
xc_mt,total_wall_ticks,sample,9973948,ticks
xc_mt,total_wall_ticks,sample,10030009,ticks
xc_mt,total_wall_ticks,sample,10026479,ticks
xc_mt,total_wall_ticks,sample,9989481,ticks
xc_mt,total_wall_ticks,sample,9977977,ticks
xc_mt,total_wall_ticks,sample,10027054,ticks
xc_mt,total_wall_ticks,sample,10029918,ticks
xc_mt,total_wall_ticks,sample,10029147,ticks
xc_mt,total_wall_ticks,sample,10027975,ticks
xc_mt,total_wall_ticks,sample,10006454,ticks
xc_mt,total_wall_ticks,sample,10022383,ticks
xc_mt,total_wall_ticks,sample,10002269,ticks
xc_mt,total_wall_ticks,sample,10026610,ticks
xc_mt,total_wall_ticks,sample,10002997,ticks
xc_mt,total_wall_ticks,sample,10027433,ticks
xc_mt,total_wall_ticks,sample,10023146,ticks
xc_mt,total_wall_ticks,sample,10005970,ticks
xc_mt,total_wall_ticks,sample,10021245,ticks
xc_mt,total_wall_ticks,sample,10003925,ticks
xc_mt,total_wall_ticks,sample,10002942,ticks
xc_mt,total_wall_ticks,sample,10001558,ticks
xc_mt,total_wall_ticks,sample,10026238,ticks
xc_mt,total_wall_ticks,sample,10026189,ticks
xc_mt,total_wall_ticks,sample,10003466,ticks
xc_mt,total_wall_ticks,sample,10001627,ticks
xc_mt,total_wall_ticks,sample,10027363,ticks
xc_mt,total_wall_ticks,sample,10009616,ticks
xc_mt,total_wall_ticks,sample,9973138,ticks
xc_mt,total_wall_ticks,sample,10031350,ticks
xc_mt,total_wall_ticks,sample,10009852,ticks
xc_mt,total_wall_ticks,sample,10006096,ticks
xc_mt,total_wall_ticks,sample,10007496,ticks
xc_mt,total_wall_ticks,sample,10005630,ticks
xc_mt,total_wall_ticks,sample,10021971,ticks
xc_mt,total_wall_ticks,sample,9986908,ticks
xc_mt,total_wall_ticks,sample,10018445,ticks
xc_mt,total_wall_ticks,sample,9989270,ticks
xc_mt,total_wall_ticks,sample,9999282,ticks
xc_mt,total_wall_ticks,sample,10020688,ticks
xc_mt,total_wall_ticks,sample,10025438,ticks
xc_mt,total_wall_ticks,sample,10007334,ticks
xc_mt,total_wall_ticks,sample,9993346,ticks
xc_mt,total_wall_ticks,sample,10027957,ticks
xc_mt,total_wall_ticks,sample,10022400,ticks
xc_mt,total_wall_ticks,sample,10032029,ticks
xc_mt,total_wall_ticks,sample,10028916,ticks
xc_mt,total_wall_ticks,sample,10020020,ticks
xc_mt,total_wall_ticks,sample,10030480,ticks
xc_mt,total_wall_ticks,sample,9998566,ticks
xc_mt,total_wall_ticks,min,9973138,ticks
xc_mt,total_wall_ticks,avg,10013108,ticks
xc_mt,total_wall_ticks,p50,10020020,ticks
xc_mt,total_wall_ticks,p99,10045378,ticks
xc_mt,total_wall_ticks,max,10045378,ticks
