section,metric,stat,value,unit
xc_mt,total_wall_ticks,sample,5031379,ticks
xc_mt,total_wall_ticks,sample,4954568,ticks
xc_mt,total_wall_ticks,sample,4999721,ticks
xc_mt,total_wall_ticks,sample,4997438,ticks
xc_mt,total_wall_ticks,sample,5001235,ticks
xc_mt,total_wall_ticks,sample,4999711,ticks
xc_mt,total_wall_ticks,sample,4993558,ticks
xc_mt,total_wall_ticks,sample,4982145,ticks
xc_mt,total_wall_ticks,sample,5002778,ticks
xc_mt,total_wall_ticks,sample,4988559,ticks
xc_mt,total_wall_ticks,sample,4992265,ticks
xc_mt,total_wall_ticks,sample,4980868,ticks
xc_mt,total_wall_ticks,sample,4996729,ticks
xc_mt,total_wall_ticks,sample,5001678,ticks
xc_mt,total_wall_ticks,sample,4996203,ticks
xc_mt,total_wall_ticks,sample,4995046,ticks
xc_mt,total_wall_ticks,sample,4990814,ticks
xc_mt,total_wall_ticks,sample,4993397,ticks
xc_mt,total_wall_ticks,sample,4981938,ticks
xc_mt,total_wall_ticks,sample,4990669,ticks
xc_mt,total_wall_ticks,sample,4998158,ticks
xc_mt,total_wall_ticks,sample,5000745,ticks
xc_mt,total_wall_ticks,sample,4976997,ticks
xc_mt,total_wall_ticks,sample,4995330,ticks
xc_mt,total_wall_ticks,sample,4999470,ticks
xc_mt,total_wall_ticks,sample,4981926,ticks
xc_mt,total_wall_ticks,sample,4982199,ticks
xc_mt,total_wall_ticks,sample,4986373,ticks
xc_mt,total_wall_ticks,sample,5000219,ticks
xc_mt,total_wall_ticks,sample,4996268,ticks
xc_mt,total_wall_ticks,sample,5010655,ticks
xc_mt,total_wall_ticks,sample,4988377,ticks
xc_mt,total_wall_ticks,sample,4995251,ticks
xc_mt,total_wall_ticks,sample,4998110,ticks
xc_mt,total_wall_ticks,sample,4977932,ticks
xc_mt,total_wall_ticks,sample,4976935,ticks
xc_mt,total_wall_ticks,sample,4986567,ticks
xc_mt,total_wall_ticks,sample,4996839,ticks
xc_mt,total_wall_ticks,sample,4996461,ticks
xc_mt,total_wall_ticks,sample,4997874,ticks
xc_mt,total_wall_ticks,sample,4971790,ticks
xc_mt,total_wall_ticks,sample,5000450,ticks
xc_mt,total_wall_ticks,sample,5006120,ticks
xc_mt,total_wall_ticks,sample,4991311,ticks
xc_mt,total_wall_ticks,sample,4999410,ticks
xc_mt,total_wall_ticks,sample,4995157,ticks
xc_mt,total_wall_ticks,sample,4998437,ticks
xc_mt,total_wall_ticks,sample,4997158,ticks
xc_mt,total_wall_ticks,sample,4997406,ticks
xc_mt,total_wall_ticks,sample,5001730,ticks
xc_mt,total_wall_ticks,min,4954568,ticks
xc_mt,total_wall_ticks,avg,4993447,ticks
xc_mt,total_wall_ticks,p50,4996268,ticks
xc_mt,total_wall_ticks,p99,5031379,ticks
xc_mt,total_wall_ticks,max,5031379,ticks
