section,metric,stat,value,unit
xc_mt,total_wall_ticks,sample,5029753,ticks
xc_mt,total_wall_ticks,sample,4961162,ticks
xc_mt,total_wall_ticks,sample,5005181,ticks
xc_mt,total_wall_ticks,sample,4993907,ticks
xc_mt,total_wall_ticks,sample,4973604,ticks
xc_mt,total_wall_ticks,sample,4992871,ticks
xc_mt,total_wall_ticks,sample,4977073,ticks
xc_mt,total_wall_ticks,sample,4982820,ticks
xc_mt,total_wall_ticks,sample,4992131,ticks
xc_mt,total_wall_ticks,sample,4997994,ticks
xc_mt,total_wall_ticks,sample,5000880,ticks
xc_mt,total_wall_ticks,sample,4996936,ticks
xc_mt,total_wall_ticks,sample,4994967,ticks
xc_mt,total_wall_ticks,sample,5008411,ticks
xc_mt,total_wall_ticks,sample,5000672,ticks
xc_mt,total_wall_ticks,sample,4997847,ticks
xc_mt,total_wall_ticks,sample,5001199,ticks
xc_mt,total_wall_ticks,sample,4964402,ticks
xc_mt,total_wall_ticks,sample,4997609,ticks
xc_mt,total_wall_ticks,sample,5000371,ticks
xc_mt,total_wall_ticks,sample,4974245,ticks
xc_mt,total_wall_ticks,sample,4982081,ticks
xc_mt,total_wall_ticks,sample,4997243,ticks
xc_mt,total_wall_ticks,sample,4998077,ticks
xc_mt,total_wall_ticks,sample,4996244,ticks
xc_mt,total_wall_ticks,sample,4975889,ticks
xc_mt,total_wall_ticks,sample,4977083,ticks
xc_mt,total_wall_ticks,sample,4980445,ticks
xc_mt,total_wall_ticks,sample,4993844,ticks
xc_mt,total_wall_ticks,sample,4979321,ticks
xc_mt,total_wall_ticks,sample,4993656,ticks
xc_mt,total_wall_ticks,sample,4998685,ticks
xc_mt,total_wall_ticks,sample,4998077,ticks
xc_mt,total_wall_ticks,sample,4998757,ticks
xc_mt,total_wall_ticks,sample,4997823,ticks
xc_mt,total_wall_ticks,sample,4975664,ticks
xc_mt,total_wall_ticks,sample,4998577,ticks
xc_mt,total_wall_ticks,sample,4996121,ticks
xc_mt,total_wall_ticks,sample,4978779,ticks
xc_mt,total_wall_ticks,sample,5000921,ticks
xc_mt,total_wall_ticks,sample,4993989,ticks
xc_mt,total_wall_ticks,sample,4996951,ticks
xc_mt,total_wall_ticks,sample,4999475,ticks
xc_mt,total_wall_ticks,sample,4997033,ticks
xc_mt,total_wall_ticks,sample,4996177,ticks
xc_mt,total_wall_ticks,sample,5000748,ticks
xc_mt,total_wall_ticks,sample,4998969,ticks
xc_mt,total_wall_ticks,sample,4995145,ticks
xc_mt,total_wall_ticks,sample,4997609,ticks
xc_mt,total_wall_ticks,sample,5001549,ticks
xc_mt,total_wall_ticks,min,4961162,ticks
xc_mt,total_wall_ticks,avg,4992779,ticks
xc_mt,total_wall_ticks,p50,4996951,ticks
xc_mt,total_wall_ticks,p99,5029753,ticks
xc_mt,total_wall_ticks,max,5029753,ticks
