section,metric,stat,value,unit
xc_mt,total_wall_ticks,sample,5031449,ticks
xc_mt,total_wall_ticks,sample,4961373,ticks
xc_mt,total_wall_ticks,sample,4991204,ticks
xc_mt,total_wall_ticks,sample,5000108,ticks
xc_mt,total_wall_ticks,sample,4996115,ticks
xc_mt,total_wall_ticks,sample,4972987,ticks
xc_mt,total_wall_ticks,sample,4998577,ticks
xc_mt,total_wall_ticks,sample,5000699,ticks
xc_mt,total_wall_ticks,sample,4996968,ticks
xc_mt,total_wall_ticks,sample,5005151,ticks
xc_mt,total_wall_ticks,sample,4991669,ticks
xc_mt,total_wall_ticks,sample,4998603,ticks
xc_mt,total_wall_ticks,sample,4998175,ticks
xc_mt,total_wall_ticks,sample,5004525,ticks
xc_mt,total_wall_ticks,sample,4980907,ticks
xc_mt,total_wall_ticks,sample,4976981,ticks
xc_mt,total_wall_ticks,sample,4992057,ticks
xc_mt,total_wall_ticks,sample,4992362,ticks
xc_mt,total_wall_ticks,sample,4999299,ticks
xc_mt,total_wall_ticks,sample,5008060,ticks
xc_mt,total_wall_ticks,sample,4975974,ticks
xc_mt,total_wall_ticks,sample,4973560,ticks
xc_mt,total_wall_ticks,sample,4975478,ticks
xc_mt,total_wall_ticks,sample,4992379,ticks
xc_mt,total_wall_ticks,sample,4973956,ticks
xc_mt,total_wall_ticks,sample,4979330,ticks
xc_mt,total_wall_ticks,sample,4998963,ticks
xc_mt,total_wall_ticks,sample,4996408,ticks
xc_mt,total_wall_ticks,sample,5001214,ticks
xc_mt,total_wall_ticks,sample,4981011,ticks
xc_mt,total_wall_ticks,sample,5007629,ticks
xc_mt,total_wall_ticks,sample,4993688,ticks
xc_mt,total_wall_ticks,sample,5001527,ticks
xc_mt,total_wall_ticks,sample,4998911,ticks
xc_mt,total_wall_ticks,sample,4997035,ticks
xc_mt,total_wall_ticks,sample,4995582,ticks
xc_mt,total_wall_ticks,sample,4998384,ticks
xc_mt,total_wall_ticks,sample,4995939,ticks
xc_mt,total_wall_ticks,sample,5003615,ticks
xc_mt,total_wall_ticks,sample,4975011,ticks
xc_mt,total_wall_ticks,sample,4972786,ticks
xc_mt,total_wall_ticks,sample,4990965,ticks
xc_mt,total_wall_ticks,sample,4997376,ticks
xc_mt,total_wall_ticks,sample,5000452,ticks
xc_mt,total_wall_ticks,sample,4997138,ticks
xc_mt,total_wall_ticks,sample,4976405,ticks
xc_mt,total_wall_ticks,sample,4999048,ticks
xc_mt,total_wall_ticks,sample,4998235,ticks
xc_mt,total_wall_ticks,sample,4999525,ticks
xc_mt,total_wall_ticks,sample,5023037,ticks
xc_mt,total_wall_ticks,min,4961373,ticks
xc_mt,total_wall_ticks,avg,4993356,ticks
xc_mt,total_wall_ticks,p50,4997035,ticks
xc_mt,total_wall_ticks,p99,5031449,ticks
xc_mt,total_wall_ticks,max,5031449,ticks
